raw_text,aspectTerms
The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[{'term': 'seats', 'polarity': 'negative'}]"
"I asked for seltzer with lime, no ice.","[{'term': 'seltzer with lime', 'polarity': 'neutral'}]"
It was pretty inexpensive too.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Will not be back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[{'term': 'pickles', 'polarity': 'positive'}, {'term': 'selection of meats and seafoods', 'polarity': 'positive'}]"
My suggestion is to eat family style because you'll want to try the other dishes.,"[{'term': 'dishes', 'polarity': 'neutral'}, {'term': 'eat family style', 'polarity': 'positive'}]"
"Best of all is the warm vibe, the owner is super friendly and service is fast.","[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'owner', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
This isn't a value joint.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Faan's got a great concept but a little rough on the delivery.,"[{'term': 'delivery', 'polarity': 'negative'}]"
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"Great food at REASONABLE prices, makes for an evening that can't be beat!","[{'term': 'food', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
Look foward to trying the Ruben upon returning.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
We usually go to the Chart House to celebrate a birthday or anniversary.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
this little place has a cute interior decor and affordable city prices.,"[{'term': 'interior decor', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
You'll adore it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Two words: Free wine.,"[{'term': 'wine', 'polarity': 'positive'}]"
The price is reasonable although the service is poor.,"[{'term': 'price', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]"
"The quantity is also very good, you will come out satisfied.","[{'term': 'quantity', 'polarity': 'positive'}]"
I have been to Roth's twice and both times were very disappointing.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Worth visiting the 1st Ave spot because it is the original store.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[{'term': 'sushi', 'polarity': 'neutral'}, {'term': 'sushi bar', 'polarity': 'neutral'}]"
"Raga's is a romantic, cozy restaurant.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
The fried rice is amazing here.,"[{'term': 'fried rice', 'polarity': 'positive'}]"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[{'term': 'mussels', 'polarity': 'positive'}, {'term': 'puff pastry goat cheese', 'polarity': 'positive'}, {'term': 'salad with a delicious dressing', 'polarity': 'positive'}, {'term': 'hanger steak au poivre', 'polarity': 'positive'}, {'term': 'courses', 'polarity': 'neutral'}]"
it's a perfect place to have a amanzing indian food.,"[{'term': 'indian food', 'polarity': 'positive'}]"
The place is so cool and the service is prompt and curtious.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]"
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[{'term': 'broth with noodles', 'polarity': 'positive'}]"
I just wonder how you can have such a delicious meal for such little money.,"[{'term': 'meal', 'polarity': 'positive'}, {'term': 'money', 'polarity': 'positive'}]"
The food was delicious but do not come here on a empty stomach.,"[{'term': 'food', 'polarity': 'conflict'}]"
The wine list is excellent.,"[{'term': 'wine list', 'polarity': 'positive'}]"
so garantuan that you can't fit them in a toaster.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","[{'term': 'Thai food', 'polarity': 'positive'}]"
They wouldnt even let me finish my glass of wine before offering another.,"[{'term': 'glass of wine', 'polarity': 'neutral'}]"
I highly recommend the Sophia pizza.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","[{'term': 'specials', 'polarity': 'neutral'}]"
This is a consistently great place to dine for lunch or dinner.,"[{'term': 'lunch', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}, {'term': 'dine', 'polarity': 'positive'}]"
"Nice atmosphere, the service was very pleasant and the desert was good.","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'desert', 'polarity': 'positive'}]"
All the people that I bring there go back on their own and bring THEIR friends!,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
After really enjoying ourselves at the bar we sat down at a table and had dinner.,"[{'term': 'bar', 'polarity': 'positive'}, {'term': 'table', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}]"
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'environment', 'polarity': 'positive'}]"
Not what I wanted to hear.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Try the lasagnette appetizer.,"[{'term': 'lasagnette appetizer', 'polarity': 'positive'}]"
"Pricey, but worth a try, at least once.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I've been there a few times, and I usually end up sitting next to some pretty odd people.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
I liked the beer selection!,"[{'term': 'beer selection', 'polarity': 'positive'}]"
"Great food, good size menu, great service and an unpretensious setting.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'setting', 'polarity': 'positive'}]"
Go here for a romantic dinner but not for an all out wow dining experience.,"[{'term': 'dinner', 'polarity': 'positive'}, {'term': 'dining', 'polarity': 'positive'}]"
Can't wait to go back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"[{'term': 'Dosa', 'polarity': 'neutral'}]"
Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[{'term': 'Wine list selection', 'polarity': 'positive'}, {'term': 'wine-by-the-glass', 'polarity': 'positive'}]"
"With the great variety on the menu , I eat here often and never get bored .","[{'term': 'menu', 'polarity': 'positive'}]"
The menu is very limited - i think we counted 4 or 5 entrees.,"[{'term': 'menu', 'polarity': 'negative'}, {'term': 'entrees', 'polarity': 'negative'}]"
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
The menu is limited but almost all of the dishes are excellent.,"[{'term': 'menu', 'polarity': 'negative'}, {'term': 'dishes', 'polarity': 'positive'}]"
Not too crazy about their sake martini.,"[{'term': 'sake martini', 'polarity': 'negative'}]"
"Great bagels, spreads and a good place to hang out in.","[{'term': 'bagels', 'polarity': 'positive'}, {'term': 'spreads', 'polarity': 'positive'}]"
"The service varys from day to day- sometimes they're very nice, and sometimes not.","[{'term': 'service', 'polarity': 'conflict'}]"
"whoever the jazz duo was, they were on POINT.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[{'term': 'table', 'polarity': 'neutral'}]"
This place is a great bargain.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
We happened upon this place purely by accident and were pleased with the results.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[{'term': 'food', 'polarity': 'positive'}]"
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
We always have a delicious meal and always leave feeling satisfied.,"[{'term': 'meal', 'polarity': 'positive'}]"
"Dip the ingredients in with your chopsticks, swirl them around, and eat.","[{'term': 'ingredients', 'polarity': 'neutral'}, {'term': 'chopsticks', 'polarity': 'neutral'}]"
First went here to enjoy their garden terrace.,"[{'term': 'garden terrace', 'polarity': 'positive'}]"
"My husbands was perfect, my was well done and dry.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
The pizza was pretty good and huge.,"[{'term': 'pizza', 'polarity': 'positive'}]"
Sapphire is the only Indian restaurant I go to when I'm in NYC.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","[{'term': 'cuisine', 'polarity': 'neutral'}]"
I heartily recommend.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"[{'term': 'atmosphere', 'polarity': 'positive'}]"
They are often crowded on the weekends but they are efficient and accurate with their service.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'crowded', 'polarity': 'negative'}]"
All my co-workers were amazed at how small the dish was.,"[{'term': 'dish', 'polarity': 'negative'}]"
"The atmosphere is unheralded, the service impecible, and the food magnificant.","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","[{'term': 'grilled branzino', 'polarity': 'negative'}]"
"The wait staff is friendly, and the food has gotten better and better!","[{'term': 'wait staff', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
"This place, which is only a few months old, is perhaps Queens' biggest secret!","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'French food', 'polarity': 'positive'}, {'term': 'packed', 'polarity': 'negative'}]"
This place is so much fun.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I was glad I did.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Right off the L in Brooklyn this is a nice cozy place with good pizza.,"[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]"
I've never been treated so rudely.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I'll be back soon.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"[{'term': 'pre-theater menu', 'polarity': 'positive'}]"
Went inside and I started to get excited.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I also ordered for delivery and the restaurant forgot half the order.,"[{'term': 'delivery', 'polarity': 'negative'}, {'term': 'order', 'polarity': 'negative'}]"
Our server checked on us maybe twice during the entire meal.,"[{'term': 'server', 'polarity': 'negative'}, {'term': 'meal', 'polarity': 'neutral'}]"
"However, it is jus too good to not praise it.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
We have been to Montparnasse many times and return often for good reason.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The strong scents coming from the left and right of me negatively affected my taste buds.,"[{'term': 'scents', 'polarity': 'negative'}]"
We had the lobster sandwich and it was FANTASTIC.,"[{'term': 'lobster sandwich', 'polarity': 'positive'}]"
It's somewhere you can eat and be happy.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"If you wrote a bad review, it's because you don't understand what Rao's is all about.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","[{'term': 'check', 'polarity': 'negative'}]"
but overall i give it a 10,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[{'term': 'Spider Roll', 'polarity': 'conflict'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'shell crab', 'polarity': 'positive'}]"
Deep Fried Skewers are good and still rare to find in NYC.,"[{'term': 'Deep Fried Skewers', 'polarity': 'positive'}]"
"I have tried to make reservations, but both times, the hostess didn't have my name.","[{'term': 'reservations', 'polarity': 'neutral'}, {'term': 'hostess', 'polarity': 'negative'}]"
I also recommend the rice dishes or the different varieties of congee (rice porridge).,"[{'term': 'rice dishes', 'polarity': 'positive'}, {'term': 'congee (rice porridge)', 'polarity': 'positive'}]"
Their tuna tartar appetizer is to die for.,"[{'term': 'tuna tartar appetizer', 'polarity': 'positive'}]"
This was one of the BEST restaurants I've ever been to.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
This restaurant used to be pretty decent.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","[{'term': 'Food', 'polarity': 'conflict'}, {'term': 'chef', 'polarity': 'positive'}, {'term': 'fish dishes', 'polarity': 'positive'}, {'term': 'soups', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'positive'}, {'term': 'cuisine', 'polarity': 'positive'}]"
"If you love wine and cheese and delicious french fare, you'll love Artisanal!","[{'term': 'wine', 'polarity': 'positive'}, {'term': 'french fare', 'polarity': 'positive'}, {'term': 'cheese', 'polarity': 'positive'}]"
I love Indian food and consider myself to be quite an expert on it.,"[{'term': 'Indian food', 'polarity': 'positive'}]"
Some baby pizzas get their wish.,"[{'term': 'baby pizzas', 'polarity': 'neutral'}]"
Plenty of choices to make your own creation.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
It was tiny and I felt like I was eating in someone's living room.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I was there on sat.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Overall A oh ya even though there is waiting it is deff worth it,"[{'term': 'waiting', 'polarity': 'negative'}]"
The lava cake dessert was incredible and I recommend it.,"[{'term': 'lava cake dessert', 'polarity': 'positive'}]"
VT is what baby pizzas hope to be when they grow up.,"[{'term': 'baby pizzas', 'polarity': 'neutral'}]"
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","[{'term': 'service', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}, {'term': 'managers', 'polarity': 'negative'}]"
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
The last time I went we were seated at a table in a corridor next to the kitchen.,"[{'term': 'table', 'polarity': 'negative'}]"
good selection of wines ranging from affordable to high end.,"[{'term': 'selection of wines', 'polarity': 'positive'}]"
"Nice restaurant overall, with classic upscale Italian decor.","[{'term': 'Italian decor', 'polarity': 'positive'}]"
Not impressed with the food.,"[{'term': 'food', 'polarity': 'negative'}]"
The entire dining experience was wonderful!,"[{'term': 'dining experience', 'polarity': 'positive'}]"
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"[{'term': 'wine selection', 'polarity': 'positive'}, {'term': 'reservation', 'polarity': 'neutral'}]"
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[{'term': 'Service', 'polarity': 'positive'}, {'term': 'maitre', 'polarity': 'positive'}, {'term': 'reservation', 'polarity': 'negative'}]"
"Order the panang duck, it's fantastic.","[{'term': 'panang duck', 'polarity': 'positive'}]"
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.","[{'term': 'Food', 'polarity': 'conflict'}, {'term': 'raw vegatables', 'polarity': 'negative'}]"
"Other than the crappy service from two individuals, it's great.","[{'term': 'service', 'polarity': 'negative'}]"
What more can you ask for?,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
They have authentic Indian at amazin prices.,"[{'term': 'Indian', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
You are treated just like royality.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"There's nice and quiet, small but enough for 6 (or more).","[{'term': 'noaspectterm', 'polarity': 'none'}]"
Ambiance- relaxed and stylish.,"[{'term': 'Ambiance', 'polarity': 'positive'}]"
I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","[{'term': 'BBQ Salmon', 'polarity': 'positive'}, {'term': 'Sea Bass', 'polarity': 'positive'}, {'term': 'Crispy Duck', 'polarity': 'positive'}]"
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","[{'term': 'ingredients', 'polarity': 'positive'}, {'term': 'ingredients', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'negative'}, {'term': 'crust', 'polarity': 'neutral'}]"
"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).","[{'term': 'noaspectterm', 'polarity': 'none'}]"
and yes Dal Bukhara is so dam good and so are all the kababs.,"[{'term': 'kababs', 'polarity': 'positive'}, {'term': 'Dal Bukhara', 'polarity': 'positive'}]"
I look forward to eating here again,"[{'term': 'eating', 'polarity': 'positive'}]"
I've been coming here as a child and always come back for the taste.,"[{'term': 'taste', 'polarity': 'positive'}]"
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"[{'term': 'meal', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]"
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","[{'term': 'glass of prosecco', 'polarity': 'positive'}, {'term': 'mussels', 'polarity': 'positive'}, {'term': 'glass of Leaping Lizard', 'polarity': 'positive'}]"
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","[{'term': 'Food', 'polarity': 'neutral'}, {'term': 'creme brulee', 'polarity': 'negative'}, {'term': 'sugar', 'polarity': 'negative'}]"
The food always tastes fresh and served promptly.,"[{'term': 'food', 'polarity': 'positive'}, {'term': 'served', 'polarity': 'positive'}]"
I know because I live nearby.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The pizza here is delicious.,"[{'term': 'pizza', 'polarity': 'positive'}]"
My entire family was horrified.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
On a monthly basis my friends and I get together and have a girls night out.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","[{'term': 'Pizza', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'positive'}, {'term': 'garlic knots', 'polarity': 'positive'}]"
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","[{'term': 'chinese food', 'polarity': 'positive'}]"
But who says Murray's is anything about service.,"[{'term': 'service', 'polarity': 'neutral'}]"
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","[{'term': 'food', 'polarity': 'negative'}]"
I have NEVER been disappointed in the Red Eye.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Hats off to the chef.,"[{'term': 'chef', 'polarity': 'positive'}]"
This should have been done in a back room - away from customers.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","[{'term': 'Service', 'polarity': 'negative'}, {'term': 'teapot', 'polarity': 'positive'}]"
Glad you have the luxury to throw out paying customers.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'fresh mozzarella', 'polarity': 'positive'}, {'term': 'cheese', 'polarity': 'negative'}]"
Its an excellent place to relax and the food is one of the best in the city of New York.,"[{'term': 'place', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
"service is friendly, and never had a problem walking in and getting a table.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'getting a table', 'polarity': 'positive'}]"
The atmosphere was crowded but it was a great bistro-type vibe.,"[{'term': 'atmosphere', 'polarity': 'conflict'}, {'term': 'bistro-type vibe', 'polarity': 'positive'}]"
Check it out,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","[{'term': 'waitress', 'polarity': 'negative'}, {'term': 'tables', 'polarity': 'neutral'}]"
Don't go.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
The food was bland oily.,"[{'term': 'food', 'polarity': 'negative'}]"
But they do.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"What is even better, is that the prices are very affordable as well, and the food is really good.","[{'term': 'prices', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]"
The fish is fresh but the variety of fish is nothing out of ordinary.,"[{'term': 'fish', 'polarity': 'positive'}, {'term': 'variety of fish', 'polarity': 'negative'}]"
Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
Suan has challenged this loyalty.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","[{'term': 'pesto pizza', 'polarity': 'positive'}, {'term': 'house salad', 'polarity': 'positive'}, {'term': 'bottle of wine', 'polarity': 'positive'}, {'term': 'meal', 'polarity': 'positive'}]"
"And Kruno, the beverage manager is the best bartender I have yet to come across.","[{'term': 'bartender', 'polarity': 'positive'}, {'term': 'beverage manager', 'polarity': 'positive'}]"
"Ambiance and music funky, which I enjoy.","[{'term': 'Ambiance', 'polarity': 'positive'}, {'term': 'music', 'polarity': 'positive'}]"
"The food, drinks and service are clearly among the best in the city.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
I went there in late afternoon for some bite size food and refleshment with my date.,"[{'term': 'food', 'polarity': 'neutral'}, {'term': 'refleshment', 'polarity': 'neutral'}]"
"It's a really great deal, considering we got full off of four dollars.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'foods', 'polarity': 'positive'}, {'term': 'tastes', 'polarity': 'positive'}, {'term': 'sommlier', 'polarity': 'positive'}, {'term': 'captain', 'polarity': 'positive'}, {'term': 'back waiters', 'polarity': 'positive'}]"
Went with mommy (the only person who could afford taking me here).,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
My friends and I were on vacation in NY and was referred to Chance by a friend.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Last time I went here, the waitress didn't come back after taking our order.","[{'term': 'waitress', 'polarity': 'negative'}]"
Try the tandoori salmon!,"[{'term': 'tandoori salmon', 'polarity': 'positive'}]"
"I am completely hooked on this place, it is ridiculous.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","[{'term': 'atmosphere', 'polarity': 'positive'}]"
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","[{'term': 'space', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'positive'}]"
"Have recommended the place to friends, always gets good response.","[{'term': 'noaspectterm', 'polarity': 'none'}]"
We will return many times for this oasis in mid-town.,"[{'term': 'noaspectterm', 'polarity': 'none'}]"
I love the atmorphere @ peep!,"[{'term': 'atmorphere', 'polarity': 'positive'}]"
